title,author,isbn,publication_year,publisher,genre,pages,rating,description
"To Kill a Mockingbird","Harper Lee","9780061120084",1960,"Harper Perennial Modern Classics","Fiction",376,4.3,"A gripping tale of racial injustice and loss of innocence in the American South"
"1984","George Orwell","9780451524935",1949,"Signet Classics","Science Fiction",328,4.2,"A dystopian social science fiction novel and cautionary tale about the perils of totalitarianism"
"Pride and Prejudice","Jane Austen","9780141439518",1813,"Penguin Classics","Romance",432,4.1,"A romantic novel of manners following the character development of Elizabeth Bennet"
"The Great Gatsby","F. Scott Fitzgerald","9780743273565",1925,"Scribner","Fiction",180,3.9,"A classic American novel set in the Jazz Age that critiques the American Dream"
"Harry Potter and the Philosopher's Stone","J.K. Rowling","9780747532699",1997,"Bloomsbury","Fantasy",223,4.5,"The first novel in the Harry Potter series about a young wizard's adventures"
"The Catcher in the Rye","J.D. Salinger","9780316769174",1951,"Little, Brown and Company","Fiction",277,3.8,"A controversial novel about teenage rebellion and alienation"
"Lord of the Flies","William Golding","9780571056866",1954,"Faber & Faber","Fiction",224,3.7,"A dystopian novel about a group of British boys stranded on an uninhabited island"
"The Hobbit","J.R.R. Tolkien","9780547928227",1937,"Houghton Mifflin Harcourt","Fantasy",366,4.4,"A fantasy adventure novel that precedes The Lord of the Rings"
"Brave New World","Aldous Huxley","9780060850524",1932,"Harper Perennial Modern Classics","Science Fiction",268,3.9,"A dystopian novel set in a futuristic World State"
"Jane Eyre","Charlotte Brontë","9780141441146",1847,"Penguin Classics","Romance",507,4.0,"A coming-of-age story following the experiences of its eponymous heroine"
"The Lord of the Rings","J.R.R. Tolkien","9780544003415",1954,"Houghton Mifflin Harcourt","Fantasy",1216,4.6,"An epic high-fantasy novel about the quest to destroy the One Ring"
"Dune","Frank Herbert","9780441172719",1965,"Ace Books","Science Fiction",688,4.3,"A science fiction novel set in the distant future amidst a feudal interstellar society"
"The Chronicles of Narnia","C.S. Lewis","9780064471190",1950,"HarperCollins","Fantasy",767,4.2,"A series of seven fantasy novels set in the magical land of Narnia"
"Fahrenheit 451","Ray Bradbury","9781451673319",1953,"Simon & Schuster","Science Fiction",249,3.8,"A dystopian novel about a future society where books are outlawed"
"Animal Farm","George Orwell","9780451526342",1945,"Signet Classics","Fiction",112,3.9,"An allegorical novella about farm animals who rebel against their human farmer"
"Wuthering Heights","Emily Brontë","9780141439556",1847,"Penguin Classics","Romance",416,3.6,"A tale of passion and revenge set on the Yorkshire moors"
"The Picture of Dorian Gray","Oscar Wilde","9780141439570",1890,"Penguin Classics","Fiction",254,4.0,"A philosophical novel about a man who sells his soul for eternal youth"
"Moby Dick","Herman Melville","9780142437247",1851,"Penguin Classics","Adventure",635,3.5,"The narrative of Captain Ahab's obsessive quest to kill the white whale"
"War and Peace","Leo Tolstoy","9780143039990",1869,"Penguin Classics","Historical Fiction",1225,4.1,"An epic novel chronicling the French invasion of Russia"
"Crime and Punishment","Fyodor Dostoevsky","9780486454115",1866,"Dover Publications","Fiction",430,4.2,"A psychological novel about guilt, redemption, and moral responsibility"
"The Alchemist","Paulo Coelho","9780061122415",1988,"HarperOne","Fiction",163,3.9,"A philosophical book about following one's dreams"
"One Hundred Years of Solitude","Gabriel García Márquez","9780060883287",1967,"Harper Perennial Modern Classics","Magical Realism",417,4.0,"A multi-generational saga of the Buendía family"
"The Kite Runner","Khaled Hosseini","9781594631931",2003,"Riverhead Books","Fiction",371,4.1,"A story of friendship, guilt, and redemption set in Afghanistan"
"Life of Pi","Yann Martel","9780156027328",2001,"Harcourt","Adventure",319,3.8,"A survival story about a boy stranded on a lifeboat with a Bengal tiger"
"The Book Thief","Markus Zusak","9780375842207",2005,"Knopf Books for Young Readers","Historical Fiction",552,4.4,"A story narrated by Death about a young girl in Nazi Germany"
"The Fault in Our Stars","John Green","9780525478812",2012,"Dutton Books","Young Adult",313,4.2,"A touching story about two teenagers with cancer who fall in love"
"Gone Girl","Gillian Flynn","9780307588364",2012,"Crown Publishers","Thriller",419,4.0,"A psychological thriller about a marriage gone terribly wrong"
"The Girl with the Dragon Tattoo","Stieg Larsson","9780307454546",2005,"Knopf","Mystery",644,4.1,"A crime thriller featuring journalist Mikael Blomkvist and hacker Lisbeth Salander"
"The Da Vinci Code","Dan Brown","9780307474278",2003,"Doubleday","Thriller",454,3.8,"A mystery thriller following symbologist Robert Langdon"
"The Hunger Games","Suzanne Collins","9780439023528",2008,"Scholastic Press","Young Adult",374,4.3,"A dystopian novel about a televised fight to the death"
"City of Bones","Cassandra Clare","9781416914280",2007,"Margaret K. McElderry Books","Fantasy",485,4.1,"First book in The Mortal Instruments series about Shadowhunters"
"City of Ashes","Cassandra Clare","9781416914297",2008,"Margaret K. McElderry Books","Fantasy",453,4.2,"Second book in The Mortal Instruments series"
"City of Glass","Cassandra Clare","9781416972242",2009,"Margaret K. McElderry Books","Fantasy",541,4.3,"Third book in The Mortal Instruments series"
"City of Fallen Angels","Cassandra Clare","9781442403536",2011,"Margaret K. McElderry Books","Fantasy",424,4.0,"Fourth book in The Mortal Instruments series"
"City of Lost Souls","Cassandra Clare","9781442416871",2012,"Margaret K. McElderry Books","Fantasy",534,4.1,"Fifth book in The Mortal Instruments series"
"City of Heavenly Fire","Cassandra Clare","9781442416895",2014,"Margaret K. McElderry Books","Fantasy",725,4.4,"Final book in The Mortal Instruments series"
"Clockwork Angel","Cassandra Clare","9781416975878",2010,"Margaret K. McElderry Books","Fantasy",479,4.2,"First book in The Infernal Devices trilogy"
"Clockwork Prince","Cassandra Clare","9781416975885",2011,"Margaret K. McElderry Books","Fantasy",528,4.3,"Second book in The Infernal Devices trilogy"
"Clockwork Princess","Cassandra Clare","9781416975892",2013,"Margaret K. McElderry Books","Fantasy",567,4.5,"Final book in The Infernal Devices trilogy"
"Lady Midnight","Cassandra Clare","9781442468368",2016,"Margaret K. McElderry Books","Fantasy",668,4.2,"First book in The Dark Artifices series"
"Lord of Shadows","Cassandra Clare","9781442468375",2017,"Margaret K. McElderry Books","Fantasy",699,4.1,"Second book in The Dark Artifices series"
"Queen of Air and Darkness","Cassandra Clare","9781442468382",2018,"Margaret K. McElderry Books","Fantasy",863,4.3,"Final book in The Dark Artifices series"
"Chain of Gold","Cassandra Clare","9781481431873",2020,"Margaret K. McElderry Books","Fantasy",595,4.0,"First book in The Last Hours trilogy"
"Chain of Iron","Cassandra Clare","9781481431880",2021,"Margaret K. McElderry Books","Fantasy",720,4.2,"Second book in The Last Hours trilogy"
"Chain of Thorns","Cassandra Clare","9781481431897",2023,"Margaret K. McElderry Books","Fantasy",774,4.1,"Final book in The Last Hours trilogy"
"Angels & Demons","Dan Brown","9780671027360",2000,"Pocket Books","Thriller",713,3.9,"Robert Langdon's first adventure involving the Illuminati"
"The Da Vinci Code","Dan Brown","9780307474278",2003,"Doubleday","Thriller",454,3.8,"A mystery thriller following symbologist Robert Langdon"
"Digital Fortress","Dan Brown","9780312263126",1998,"St. Martin's Press","Thriller",431,3.6,"A techno-thriller about NSA and cryptography"
"Deception Point","Dan Brown","9780671027377",2001,"Pocket Books","Thriller",558,3.7,"A political thriller involving NASA and arctic discoveries"
"The Lost Symbol","Dan Brown","9780385504225",2009,"Doubleday","Thriller",509,3.5,"Third Robert Langdon novel set in Washington D.C."
"Inferno","Dan Brown","9780385537858",2013,"Doubleday","Thriller",463,3.8,"Fourth Robert Langdon novel inspired by Dante's Inferno"
"Origin","Dan Brown","9780385514231",2017,"Doubleday","Thriller",461,3.9,"Fifth Robert Langdon novel exploring science and religion"
"The Handmaid's Tale","Margaret Atwood","9780385490818",1985,"McClelland & Stewart","Science Fiction",311,4.1,"A dystopian novel about a totalitarian society"
"Beloved","Toni Morrison","9781400033416",1987,"Knopf","Fiction",324,3.8,"A powerful novel about slavery and its aftermath"
"The Road","Cormac McCarthy","9780307387899",2006,"Knopf","Post-Apocalyptic",287,4.0,"A post-apocalyptic tale of a father and son"
"One Flew Over the Cuckoo's Nest","Ken Kesey","9780141181222",1962,"Viking Press","Fiction",325,4.2,"A novel set in a mental health facility"
"Slaughterhouse-Five","Kurt Vonnegut","9780440180296",1969,"Delacorte Press","Science Fiction",275,4.0,"An anti-war novel with science fiction elements"
"The Bell Jar","Sylvia Plath","9780060837020",1963,"Harper & Row","Fiction",244,4.0,"A semi-autobiographical novel about depression"
"Catch-22","Joseph Heller","9781451626650",1961,"Simon & Schuster","Fiction",453,3.9,"A satirical novel about World War II"
"The Color Purple","Alice Walker","9780156028356",1982,"Harcourt Brace Jovanovich","Fiction",295,4.2,"An epistolary novel about African American women in the South"
"Invisible Man","Ralph Ellison","9780679732761",1952,"Random House","Fiction",581,4.1,"A novel about African American experience and identity"
"Of Mice and Men","John Steinbeck","9780140177398",1937,"Covici Friede","Fiction",107,3.8,"A novella about friendship during the Great Depression"
"The Grapes of Wrath","John Steinbeck","9780143039433",1939,"Viking Press","Fiction",464,4.0,"A novel about the Dust Bowl and Great Depression"
"A Clockwork Orange","Anthony Burgess","9780393341768",1962,"Heinemann","Science Fiction",192,3.8,"A dystopian novella about free will and morality"
"The Outsiders","S.E. Hinton","9780142407332",1967,"Viking Press","Young Adult",192,4.1,"A coming-of-age novel about teenage gangs"
"Where the Crawdads Sing","Delia Owens","9780735219090",2018,"G.P. Putnam's Sons","Fiction",370,4.5,"A mystery and coming-of-age story set in the South"
"Educated","Tara Westover","9780399590504",2018,"Random House","Memoir",334,4.4,"A memoir about education and family"
"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid","9781501161933",2017,"Atria Books","Fiction",388,4.3,"A novel about a reclusive Hollywood icon"
"Normal People","Sally Rooney","9780571334650",2018,"Faber & Faber","Fiction",266,4.1,"A novel about the complex relationship between two Irish teenagers"
"The Silent Patient","Alex Michaelides","9781250301697",2019,"Celadon Books","Thriller",336,4.0,"A psychological thriller about a woman who refuses to speak"
"Circe","Madeline Miller","9780316556347",2018,"Little, Brown and Company","Fantasy",393,4.3,"A retelling of Greek mythology from Circe's perspective"
"The Song of Achilles","Madeline Miller","9780062060624",2011,"Ecco","Fiction",352,4.4,"A retelling of the Iliad focusing on Achilles and Patroclus"
"Red Queen","Victoria Aveyard","9780062310637",2015,"HarperTeen","Young Adult",383,4.0,"A dystopian fantasy about a world divided by blood"
"Six of Crows","Leigh Bardugo","9781627792127",2015,"Henry Holt and Co.","Fantasy",465,4.5,"A fantasy heist novel set in the Grishaverse"
"Shadow and Bone","Leigh Bardugo","9781250027436",2012,"Henry Holt and Co.","Fantasy",358,4.0,"First book in the Grisha trilogy"
"The Night Circus","Erin Morgenstern","9780307744432",2011,"Doubleday","Fantasy",387,4.0,"A fantasy novel about a magical Victorian-era circus"
"The Time Traveler's Wife","Audrey Niffenegger","9780156029438",2003,"MacAdam/Cage","Science Fiction",518,3.9,"A love story involving time travel"
"Big Little Lies","Liane Moriarty","9780399167065",2014,"G.P. Putnam's Sons","Fiction",460,4.2,"A novel about secrets and lies in suburban Australia"
"The Girl on the Train","Paula Hawkins","9781594633669",2015,"Riverhead Books","Thriller",323,3.9,"A psychological thriller told from three perspectives"
"Eleanor Oliphant Is Completely Fine","Gail Honeyman","9780735220690",2017,"Pamela Dorman Books","Fiction",337,4.1,"A novel about loneliness and human connection"
"The Martian","Andy Weir","9780553418026",2011,"Crown Publishers","Science Fiction",369,4.4,"A survival story about an astronaut stranded on Mars"
"Ready Player One","Ernest Cline","9780307887436",2011,"Crown Publishers","Science Fiction",374,4.2,"A sci-fi adventure set in a virtual reality world"
"The Maze Runner","James Dashner","9780385737944",2009,"Delacorte Press","Young Adult",374,4.0,"A dystopian novel about teenagers trapped in a maze"
"Divergent","Veronica Roth","9780062024039",2011,"Katherine Tegen Books","Young Adult",487,4.2,"A dystopian novel about a society divided into factions"
"The Perks of Being a Wallflower","Stephen Chbosky","9781451696196",1999,"MTV Books","Young Adult",213,4.2,"A coming-of-age epistolary novel"
"Thirteen Reasons Why","Jay Asher","9781595141712",2007,"Razorbill","Young Adult",288,3.8,"A novel about teen suicide and its impact"
"Looking for Alaska","John Green","9780525475064",2005,"Dutton Books","Young Adult",221,4.0,"A coming-of-age novel set at a boarding school"
"An Abundance of Katherines","John Green","9780142410707",2006,"Dutton Books","Young Adult",227,3.7,"A road trip novel about love and mathematics"
"Paper Towns","John Green","9780142414938",2008,"Dutton Books","Young Adult",305,3.8,"A mystery about a girl who disappears"
"Will Grayson, Will Grayson","John Green","9780525421580",2010,"Dutton Books","Young Adult",310,4.0,"A novel about two boys with the same name"
"Turtles All the Way Down","John Green","9780525555360",2017,"Dutton Books","Young Adult",286,4.1,"A novel about mental health and friendship"
"The Hate U Give","Angie Thomas","9780062498533",2017,"Balzer + Bray","Young Adult",444,4.5,"A novel about police brutality and activism"
"Children of Blood and Bone","Tomi Adeyemi","9781250170972",2018,"Henry Holt and Co.","Fantasy",531,4.2,"A West African-inspired fantasy about magic"
"An American Marriage","Tayari Jones","9781616201340",2018,"Algonquin Books","Fiction",308,4.0,"A novel about love and injustice"
"The Poppy War","R.F. Kuang","9780062662569",2018,"Harper Voyager","Fantasy",545,4.1,"A grimdark fantasy inspired by 20th-century China"
"The Fifth Season","N.K. Jemisin","9780316229296",2015,"Orbit","Fantasy",498,4.3,"First book in the Broken Earth trilogy"
"The Name of the Wind","Patrick Rothfuss","9780756404079",2007,"DAW Books","Fantasy",662,4.5,"First book in The Kingkiller Chronicle"
"The Way of Kings","Brandon Sanderson","9780765326355",2010,"Tor Books","Fantasy",1007,4.6,"First book in The Stormlight Archive"
"Mistborn","Brandon Sanderson","9780765311788",2006,"Tor Books","Fantasy",541,4.4,"First book in the Mistborn series"
"The Lies of Locke Lamora","Scott Lynch","9780553588941",2006,"Bantam","Fantasy",499,4.3,"A fantasy heist novel about gentleman thieves"